Date	Ticker	Open	High	Low	Close	Volume
1994-06-24	8021	18.45	18.50	18.30	18.40	185176
1994-06-24	8028	37.40	37.90	36.05	36.70	896600
1994-06-24	8033	8.45	8.68	8.20	8.25	526119
1994-06-24	8039	34.80	35.85	34.55	35.40	3185651
1994-06-24	8046	37.00	37.25	35.75	36.30	11919967
1994-06-24	8070	132.50	133.00	131.50	132.50	20082
1994-06-24	8072	21.50	21.50	21.40	21.50	10392
1994-06-24	8081	66.10	66.50	65.60	65.60	144412
1994-06-24	8101	3.30	3.37	3.25	3.28	127423
1994-06-24	8103	25.50	25.50	25.25	25.30	104348
1994-06-24	8105	10.55	10.75	10.35	10.40	2009031
1994-06-24	8110	10.50	10.65	10.40	10.60	1187041
1994-06-24	8112	28.25	28.25	27.90	27.90	1019204
1994-06-24	8114	107.00	107.00	105.00	105.50	65444
1994-06-24	8131	32.70	32.70	31.70	31.95	305342
1994-06-24	8150	26.40	26.95	26.00	26.10	6976604
1994-06-24	8163	41.70	41.95	41.10	41.15	2923460
1994-06-24	8201	12.55	13.60	12.55	13.10	253906
1994-06-24	8210	45.20	45.20	44.15	44.45	395264
1994-06-24	8213	28.35	28.45	27.90	27.95	709280
1994-06-24	8215	16.65	16.85	16.55	16.60	604002
1994-06-24	8222	16.50	16.65	16.50	16.50	48190
1994-06-24	8249	19.80	20.15	19.80	20.00	69001
1994-06-24	8261	33.10	33.10	31.55	31.65	1441135
1994-06-24	8271	28.90	28.95	28.75	28.80	151367
1994-06-24	8341	212.50	212.50	206.00	206.00	358872
1994-06-24	8367	23.40	23.65	22.95	23.00	134000
1994-06-24	8374	19.30	20.30	19.30	19.40	166001
1994-06-24	8404	41.60	41.60	41.10	41.15	200512
1994-06-24	8411	12.40	12.60	12.40	12.60	74735
1994-06-24	8422	167.50	168.00	167.00	167.00	262784
1994-06-24	8427	40.50	40.50	40.30	40.30	10000
1994-06-24	8429	18.60	18.80	18.10	18.25	424266
1994-06-24	8442	61.00	61.90	61.00	61.90	22080
1994-06-24	8443	12.30	12.30	12.10	12.10	10000
1994-06-24	8454	197.00	197.00	194.50	195.50	79150
1994-06-24	8463	26.90	26.90	26.50	26.50	84000
1994-06-24	8464	235.50	237.00	227.50	232.00	1105977
1994-06-24	8466	54.40	54.40	54.30	54.30	2000
1994-06-24	8467	36.55	36.55	36.55	36.55	151002
1994-06-24	8473	56.50	57.00	56.50	56.60	41000
1994-06-24	8478	42.65	43.40	42.60	42.90	120000
1994-06-24	8480	125.00	126.00	125.00	126.00	2001
1994-06-24	8482	116.00	117.00	115.50	116.00	285049
