契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,最後成交價,結算價,漲跌價,漲跌%,*盤後交易時段成交量,*一般交易時段成交量,*合計成交量,*未沖銷契約量,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價
TXO,202212W1,15900,Call,1.3,1.3,1,1,1,▼-1.8,▼-64.29%,0,124,124,539,-,1,5.4,1
TXO,202212W1,15900,Put,-,-,-,-,1380,-,-,0,0,0,0,1370,1530,-,-
TXO,202212W1,16000,Call,0.9,1,0.1,0.1,0.6,▼-2.3,▼-95.83%,0,92,92,7,0.2,0.9,2.7,0.1
TXO,202212W1,16000,Put,-,-,-,-,1480,-,-,0,0,0,0,1470,1630,-,-
TXO,202212W1,16100,Call,-,-,-,-,0.3,-,-,0,0,0,5,0.1,0.6,2.2,1.6
TXO,202212W1,16100,Put,-,-,-,-,1580,-,-,0,0,0,0,1570,1730,-,-
TXO,202212W1,16200,Call,-,-,-,-,0.2,-,-,0,0,0,0,0.1,0.6,-,-
TXO,202212W1,16200,Put,-,-,-,-,1680,-,-,0,0,0,0,1670,1830,-,-
TXO,202212W1,16300,Call,-,-,-,-,0.1,-,-,0,0,0,0,-,0.6,-,-
TXO,202212W1,16300,Put,-,-,-,-,1780,-,-,0,0,0,0,1770,1930,-,-
TXO,202212,10700,Call,-,-,-,-,3770,-,-,0,0,0,0,3750,3800,-,-
TXO,202212,10700,Put,1.3,1.3,0.3,0.3,0.3,▼-0.1,▼-25.00%,0,87,87,4081,0.3,1.3,77,0.3
TXO,202212,10800,Call,-,-,-,-,3670,-,-,0,0,0,359,3650,3690,3950,3140
TXO,202212,10800,Put,-,-,-,-,0.4,-,-,0,0,0,1706,0.3,6.1,99,0.4
TXO,202212,10900,Call,-,-,-,-,3570,-,-,0,0,0,0,3550,3600,-,-
TXO,202212,10900,Put,1.4,1.4,1,1,1,▼-0.2,▼-16.67%,60,4,64,1474,0.4,1.6,108,0.4
TXO,202212,11000,Call,-,-,-,-,3470,-,-,0,0,0,10,3450,3500,3860,1980
TXO,202212,11000,Put,1.2,1.3,1,1.3,1.3,0,0%,0,24,24,1972,0.9,2,217,0.5
TXO,202212,11100,Call,-,-,-,-,3370,-,-,0,0,0,0,3350,3400,-,-
TXO,202212,11100,Put,-,-,-,-,1.3,-,-,0,0,0,663,0.8,2.4,148,0.6
TXO,202212,11200,Call,-,-,-,-,3270,-,-,0,0,0,24,3250,3300,3660,1700
TXO,202212,11200,Put,-,-,-,-,1.4,-,-,0,0,0,426,-,2,275,0.9
TXO,202212,11300,Call,-,-,-,-,3170,-,-,0,0,0,0,3150,3200,-,-
TXO,202212,11300,Put,1.9,1.9,1.4,1.4,1.4,▲+0.1,▲+7.69%,0,25,25,359,1,3,173,1
TXO,202212,11400,Call,3140,3140,3130,3130,3070,▼-180,▼-5.44%,0,2,2,232,3050,3170,3470,2030
TXO,202212,11400,Put,1.9,1.9,1.5,1.5,1.5,▲+0.2,▲+15.38%,0,43,43,680,1,3.3,250,0.8
TXO,202212,11500,Call,-,-,-,-,2970,-,-,0,0,0,0,2950,3000,-,-
TXO,202212,11500,Put,3.5,3.6,2.3,2.8,1.8,▲+1.1,▲+64.71%,0,202,202,1050,0.9,2.7,338,1
TXO,202212,11600,Call,-,-,-,-,2870,-,-,0,0,0,4,2850,2900,3280,1840
TXO,202212,11600,Put,2.7,2.7,2.5,2.5,2,▲+0.6,▲+31.58%,0,67,67,1305,1,4.4,265,1.1
TXO,202212,11700,Call,-,-,-,-,2770,-,-,0,0,0,0,2680,2800,-,-
TXO,202212,11700,Put,2.7,2.7,2.3,2.3,2.3,▼-0.6,▼-20.69%,21,55,76,1700,-,2.5,250,1.5
TXO,202212,11800,Call,-,-,-,-,2670,-,-,0,0,0,368,2650,2700,3090,1270
TXO,202212,11800,Put,5,5,2.6,2.6,2.6,▼-0.5,▼-16.13%,104,29,133,1509,-,3.6,310,1.5
TXO,202212,11900,Call,-,-,-,-,2570,-,-,0,0,0,0,2480,2600,-,-
TXO,202212,11900,Put,3.6,3.6,2.8,2.8,2.8,▼-0.5,▼-15.15%,40,14,54,1661,2.1,4.1,300,1.5
TXO,202212,12000,Call,-,-,-,-,2470,-,-,0,0,0,5,2380,2500,2620,1020
TXO,202212,12000,Put,5,5.2,2.8,3,3,▼-0.5,▼-14.29%,0,234,234,5365,2.7,4.1,365,1.9
TXO,202212,12100,Call,-,-,-,-,2380,-,-,0,0,0,9,2280,2400,2020,885
TXO,202212,12100,Put,4.1,4.8,3.6,3.6,3.6,▼-0.2,▼-5.26%,12,39,51,1388,-,8,345,2
TXO,202212,12200,Call,-,-,-,-,2280,-,-,0,0,0,6,2180,2300,2850,820
TXO,202212,12200,Put,4.7,4.8,3.4,4,4,▼-0.1,▼-2.44%,81,299,380,1772,0.2,10.5,400,2.3
TXO,202212,12300,Call,-,-,-,-,2180,-,-,0,0,0,12,2080,2200,2380,740
TXO,202212,12300,Put,5.9,5.9,3.7,4.6,4.6,▲+0.2,▲+4.55%,52,361,413,1579,4.5,14.5,401,2.4
TXO,202212,12400,Call,2180,2180,2180,2180,2080,▼-130,▼-5.63%,0,1,1,14,2060,2100,2530,665
TXO,202212,12400,Put,6.1,6.1,4.2,5.2,5.2,▲+0.7,▲+15.56%,86,404,490,2439,5,9.9,494,2.8
TXO,202212,12500,Call,-,-,-,-,1980,-,-,0,0,0,35,1960,2000,1950,610
TXO,202212,12500,Put,6.8,7.9,4.6,6.4,6.4,▲+1.9,▲+42.22%,178,527,705,4541,6,8,475,3
TXO,202212,12600,Call,-,-,-,-,1880,-,-,0,0,0,193,1860,1980,2350,550
TXO,202212,12600,Put,8.4,8.8,5.5,7.1,7.1,▲+1.9,▲+36.54%,146,292,438,3253,3,11,520,3.6
TXO,202212,12700,Call,-,-,-,-,1780,-,-,0,0,0,173,1760,1810,2090,472
TXO,202212,12700,Put,9.2,10.5,6.7,8.5,8.5,▲+2.7,▲+46.55%,47,137,184,1783,3,10,555,3.4
TXO,202212,12800,Call,-,-,-,-,1680,-,-,0,0,0,340,1590,1780,2170,410
TXO,202212,12800,Put,10,12.5,8.3,10,10,▲+3.5,▲+53.85%,78,484,562,2932,4,10.5,595,4.1
TXO,202212,12900,Call,-,-,-,-,1590,-,-,5,0,5,383,1550,1610,1890,365
TXO,202212,12900,Put,10.5,15.5,9.5,13,13,▲+5.6,▲+75.68%,168,457,625,1141,9.7,13.5,710,5.1
TXO,202212,13000,Call,1510,1560,1510,1560,1490,▼-160,▼-9.30%,11,3,14,393,1470,1510,1990,310
TXO,202212,13000,Put,15.5,19,11,15.5,15.5,▲+6.4,▲+70.33%,391,1184,1575,4347,14,17,750,6.4
TXO,202212,13100,Call,1460,1460,1460,1460,1390,▼-160,▼-9.88%,1,7,8,343,1370,1450,1670,260
TXO,202212,13100,Put,20,23,14,19,19,▲+8,▲+72.73%,205,482,687,1872,16,19,800,7.5
TXO,202212,13200,Call,1360,1360,1360,1360,1300,▼-160,▼-10.53%,0,2,2,297,1280,1320,2170,220
