Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,MaxOIStrikePut,MaxOIPut,TotalOIPut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-12-10,發行量加權股價指數,17914.12,17914.12,17767.8,17826.26,C < O,C < O,Earned,202112,18000.0,45302.0,233388.0,16700.0,31118.0,211874.0,0.0,25268.0,8814.0,0.1,0.08,1.0,-0.01,0.07
2021-12-13,發行量加權股價指數,17826.26,17919.35,17767.6,17767.6,C > O,C < O,Earned,202112,18000.0,48218.0,251998.0,17600.0,34206.0,221592.0,0.0,18610.0,9718.0,0.14,0.04000000000000001,0.0,-0.01,0.01
2021-12-14,發行量加權股價指數,17767.6,17767.6,17566.99,17599.37,C > O,C < O,,202112,18000.0,40836.0,268256.0,17600.0,37194.0,230190.0,0.0,16258.0,8598.0,0.17,0.03,0.0,-0.02,-0.0
2021-12-15,發行量加權股價指數,17599.37,17678.78,17556.87,17660.1,,,,202112W4,17900.0,5582.0,32492.0,17200.0,4752.0,26828.0,0.0,-235764.0,-203362.0,0.21,0.03999999999999998,,-0.01,0.03
2021-12-16,發行量加權股價指數,17660.1,17814.32,17660.1,17785.74,,,,202112W4,18000.0,16966.0,93852.0,17300.0,10860.0,84386.0,0.0,61360.0,57558.0,0.11,-0.09999999999999999,,-0.01,0.03
2021-12-17,發行量加權股價指數,17785.74,17822.74,17718.27,17812.59,C > O,C > O,,202112W4,18000.0,32096.0,142704.0,17600.0,16110.0,109722.0,0.0,48852.0,25336.0,0.3,0.19,1.0,-0.01,0.01
2021-12-20,發行量加權股價指數,17812.59,17812.81,17646.39,17669.11,C > O,C < O,,202112W4,18000.0,32816.0,213388.0,17500.0,20442.0,136264.0,0.0,70684.0,26542.0,0.57,0.26999999999999996,0.0,-0.02,0.01
2021-12-21,發行量加權股價指數,17669.11,17825.89,17652.32,17789.27,C > O,C > O,Earned,202112W4,18000.0,32768.0,193694.0,17600.0,24112.0,177560.0,0.0,-19694.0,41296.0,0.09,-0.48,1.0,-0.01,0.01
2021-12-22,發行量加權股價指數,17789.27,17870.16,17789.27,17826.83,,,,202112W5,18100.0,5682.0,34070.0,17600.0,6794.0,37348.0,0.0,-159624.0,-140212.0,-0.09,-0.18,,-0.02,0.01
2021-12-23,發行量加權股價指數,17826.83,17960.99,17826.83,17946.66,,,,202112W5,18100.0,19394.0,104238.0,17750.0,13374.0,94508.0,0.0,70168.0,57160.0,0.1,0.19,,-0.01,0.01
2021-12-24,發行量加權股價指數,17946.66,18039.85,17946.66,17961.64,C > O,C > O,Earned,202112W5,18200.0,21440.0,121786.0,17750.0,16482.0,120888.0,0.0,17548.0,26380.0,0.01,-0.09000000000000001,1.0,-0.01,0.01
2021-12-27,發行量加權股價指數,17961.64,18099.78,17961.64,18048.94,C < O,C > O,,202112W5,18200.0,30096.0,147860.0,17900.0,21580.0,147396.0,0.0,26074.0,26508.0,0.0,-0.01,0.0,-0.01,0.01
2021-12-28,發行量加權股價指數,18048.94,18197.36,18048.94,18196.81,C < O,C > O,,202112W5,18200.0,32444.0,158604.0,18050.0,21782.0,171546.0,0.0,10744.0,24150.0,-0.08,-0.08,0.0,-0.0,0.01
2021-12-29,發行量加權股價指數,18196.81,18283.25,18192.86,18248.28,,,,202201W1,18300.0,4560.0,31030.0,17800.0,4714.0,37916.0,0.0,-127574.0,-133630.0,-0.18,-0.09999999999999999,,-0.0,0.03
2021-12-30,發行量加權股價指數,18248.28,18291.25,18216.45,18218.84,,,,202201W1,18500.0,11992.0,81996.0,17850.0,12718.0,76970.0,0.0,50966.0,39054.0,0.07,0.25,,-0.02,0.02
2022-01-03,發行量加權股價指數,18218.84,18379.69,18218.84,18270.51,C > O,C > O,Earned,202201W1,18400.0,20376.0,124676.0,18000.0,18430.0,123344.0,0.0,42680.0,46374.0,0.01,-0.060000000000000005,1.0,-0.01,0.02
2022-01-04,發行量加權股價指數,18270.51,18526.35,18270.51,18526.35,C < O,C > O,,202201W1,18550.0,23806.0,140610.0,18400.0,23656.0,183976.0,0.0,15934.0,60632.0,-0.24,-0.25,0.0,-0.0,0.01
2022-01-05,發行量加權股價指數,18526.35,18619.61,18446.52,18499.96,,,,202201,19000.0,27596.0,149898.0,18000.0,15248.0,115226.0,0.0,9288.0,-68750.0,0.3,0.54,,-0.03,0.03
2022-01-06,發行量加權股價指數,18499.96,18499.96,18253.82,18367.92,,,,202201W2,18650.0,14970.0,104372.0,18000.0,16792.0,89652.0,0.0,-45526.0,-25574.0,0.16,-0.13999999999999999,,-0.02,0.02
