Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-06-21,發行量加權股價指數,17318.54,17318.54,17023.31,17062.98,C > O,C < O,,202107,17500.0,10170.0,74120.0,17964.06368051808,16000.0,10854.0,72036.0,16053.936920428674,0.0,16586.0,13810.0,0.03,0.04,0.0,-0.02,0.07
2021-06-22,發行量加權股價指數,17062.98,17270.47,17062.98,17075.55,C > O,C > O,Earned,202107,17500.0,11338.0,80984.0,17948.083572063617,16000.0,11722.0,76766.0,16135.005080374123,0.0,6864.0,4730.0,0.05,0.020000000000000004,1.0,-0.02,0.07
2021-06-23,發行量加權股價指數,17075.55,17375.79,17075.55,17336.71,C > O,C > O,Earned,202107,17500.0,12674.0,83930.0,17999.91421422614,16000.0,12414.0,81952.0,16226.835220616946,0.0,2946.0,5186.0,0.02,-0.030000000000000002,1.0,-0.01,0.08
2021-06-24,發行量加權股價指數,17336.71,17439.63,17319.89,17407.96,C < O,C > O,,202107,17500.0,12068.0,83746.0,18076.581568074893,16000.0,15420.0,88888.0,16123.820988209882,0.0,-184.0,6936.0,-0.06,-0.08,0.0,-0.01,0.09
2021-06-25,發行量加權股價指數,17407.96,17597.33,17407.96,17502.99,,,,202107,17500.0,11204.0,84952.0,18081.022224314907,16000.0,15814.0,91948.0,16267.305433505895,0.0,1206.0,3060.0,-0.08,-0.020000000000000004,,0.0,0.09
2021-06-28,發行量加權股價指數,17502.99,17595.51,17481.23,17590.97,C < O,C > O,,202107,17500.0,11176.0,86914.0,18113.48459396645,16000.0,16128.0,95236.0,16286.545003990088,0.0,1962.0,3288.0,-0.09,-0.009999999999999995,0.0,0.01,0.1
2021-06-29,發行量加權股價指數,17590.97,17713.24,17541.14,17598.19,C < O,C > O,,202107,17500.0,11740.0,91452.0,18187.66566067445,16000.0,16464.0,100066.0,16296.554274179041,0.0,4538.0,4830.0,-0.09,0.0,0.0,0.01,0.1
2021-06-30,發行量加權股價指數,17598.19,17797.27,17598.19,17755.46,C < O,C > O,,202107,18000.0,12190.0,95648.0,18218.068333890933,16000.0,17124.0,105108.0,16328.034022148648,0.0,4196.0,5042.0,-0.09,0.0,0.0,-0.01,0.11
2021-07-01,發行量加權股價指數,17755.46,17863.9,17644.36,17713.94,C < O,C < O,Earned,202107,18000.0,15208.0,102666.0,18228.322911187734,16000.0,16974.0,108558.0,16352.278044916082,0.0,7018.0,3450.0,-0.05,0.039999999999999994,1.0,-0.02,0.11
2021-07-02,發行量加權股價指數,17713.94,17795.88,17676.98,17710.15,C > O,C < O,Earned,202107,18000.0,17328.0,106602.0,18226.806251289843,17000.0,17866.0,114054.0,16379.318568397426,0.0,3936.0,5496.0,-0.07,-0.020000000000000004,0.0,-0.02,0.04
2021-07-05,發行量加權股價指數,17710.15,17945.52,17710.15,17919.33,C < O,C > O,,202107,18000.0,24866.0,110768.0,18215.37628195869,17000.0,19166.0,116548.0,16443.865188591826,0.0,4166.0,2494.0,-0.05,0.020000000000000004,0.0,-0.0,0.05
2021-07-06,發行量加權股價指數,17919.33,18008.37,17895.78,17913.07,C > O,C < O,Earned,202107,18000.0,24444.0,113610.0,18216.586568083796,17000.0,20784.0,120204.0,16461.215932914045,0.0,2842.0,3656.0,-0.05,0.0,0.0,-0.0,0.05
2021-07-07,發行量加權股價指數,17913.07,17933.62,17756.82,17850.69,C < O,C < O,Earned,202107,18000.0,27246.0,120756.0,18208.77637550101,17000.0,21726.0,121636.0,16474.767338616857,0.0,7146.0,1432.0,-0.01,0.04,1.0,-0.01,0.05
2021-07-08,發行量加權股價指數,17850.69,17935.11,17742.08,17866.09,C > O,C > O,Earned,202107,18000.0,30930.0,130278.0,18199.631557131674,17000.0,20982.0,122334.0,16540.29950790459,0.0,9522.0,698.0,0.06,0.06999999999999999,1.0,-0.01,0.05
2021-07-09,發行量加權股價指數,17866.09,17866.09,17597.46,17661.48,C > O,C < O,,202107,18000.0,32734.0,133224.0,18181.34720470786,17000.0,19950.0,118854.0,16477.51022262608,0.0,2946.0,-3480.0,0.12,0.06,0.0,-0.02,0.04
2021-07-12,發行量加權股價指數,17661.48,17947.9,17661.48,17814.33,,,,202107,18000.0,32518.0,133698.0,18197.14580621999,17000.0,22128.0,124574.0,16567.22751135871,0.0,474.0,5720.0,0.07,-0.04999999999999999,,-0.01,0.05
2021-07-13,發行量加權股價指數,17814.33,18018.04,17786.76,17847.52,C < O,C > O,,202107,18000.0,30496.0,133070.0,18204.42022995416,17000.0,21120.0,127868.0,16647.78208777802,0.0,-628.0,3294.0,0.04,-0.030000000000000006,0.0,-0.01,0.05
2021-07-14,發行量加權股價指數,17847.52,17940.86,17716.44,17845.75,,,,202107,18000.0,33210.0,153776.0,18197.762979918843,17000.0,23646.0,142474.0,16744.448811713013,0.0,20706.0,14606.0,0.08,0.04,,-0.01,0.05
2021-07-15,發行量加權股價指數,17845.75,18034.19,17845.75,18034.19,C > O,C > O,Earned,202107,18000.0,37430.0,232846.0,18338.105443082553,17000.0,23990.0,185846.0,17305.647686794444,0.0,79070.0,43372.0,0.25,0.16999999999999998,1.0,0.0,0.06
2021-07-16,發行量加權股價指數,18034.19,18034.19,17779.61,17895.25,C > O,C < O,,202107,18100.0,55460.0,341098.0,18198.778356953135,17000.0,25876.0,198166.0,17270.787117870877,0.0,108252.0,12320.0,0.72,0.47,0.0,-0.01,0.05
2021-07-19,發行量加權股價指數,17895.25,17895.25,17708.15,17789.25,C > O,C < O,,202107,18000.0,67504.0,371734.0,18114.19590352241,17600.0,27890.0,220694.0,17267.18941158346,0.0,30636.0,22528.0,0.68,-0.039999999999999925,0.0,-0.01,0.01
2021-07-20,發行量加權股價指數,17789.25,17789.25,17500.69,17528.74,C > O,C < O,,202107,18000.0,55260.0,357290.0,18002.262307929133,17200.0,30962.0,248022.0,17231.379474401463,0.0,-14444.0,27328.0,0.44,-0.24000000000000005,0.0,-0.03,0.02
2021-07-21,發行量加權股價指數,17528.74,17707.56,17352.24,17458.79,,,,202108,18000.0,9128.0,56768.0,18339.42714205186,17000.0,8962.0,44792.0,16450.65636720843,0.0,-300522.0,-203230.0,0.27,-0.16999999999999998,,-0.03,0.03
2021-07-22,發行量加權股價指數,17458.79,17667.38,17458.79,17572.33,,,,202108,18000.0,10682.0,71914.0,18188.16085880357,17000.0,9982.0,53978.0,16438.104412908964,0.0,15146.0,9186.0,0.33,0.06,,-0.02,0.03
2021-07-23,發行量加權股價指數,17572.33,17672.6,17511.86,17572.92,C > O,C > O,Earned,202108,18000.0,10642.0,77218.0,18180.432023621437,17000.0,10556.0,58744.0,16444.787552771348,0.0,5304.0,4766.0,0.31,-0.020000000000000018,1.0,-0.02,0.03
