代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1708,2202,-13332,8,6,14,57.14,-0.003907142857142854,111.21428571428571
1709,1246,-3246,7,8,15,46.67,-0.004693333333333327,132.8
1710,3669,-669,14,11,25,56.0,0.001811999999999999,54.32
1711,2194,12086,15,6,21,71.43,0.048023809523809524,53.57142857142857
1712,1794,4246,14,10,24,58.33,0.0119625,52.041666666666664
1713,1558,12442,14,6,20,70.0,0.04521499999999999,40.85
1714,1942,7348,18,9,27,66.67,0.03624074074074075,50.2962962962963
1717,4003,8847,16,8,24,66.67,0.018587500000000003,58.708333333333336
1718,1963,-5663,14,15,29,48.28,-0.01709655172413793,43.13793103448276
1720,3372,7428,12,9,21,57.14,0.01227142857142857,89.57142857142857
1721,1443,3947,14,7,21,66.67,0.03872857142857143,44.857142857142854
1722,5859,-18159,8,9,17,47.06,-0.016758823529411767,89.29411764705883
1723,12558,16642,13,8,21,61.9,0.013566666666666675,81.95238095238095
1725,1426,3224,8,6,14,57.14,0.021071428571428567,93.35714285714286
1726,4015,7535,8,5,13,61.54,0.014392307692307694,86.07692307692308
1727,1883,-18163,7,11,18,38.89,-0.034688888888888894,115.05555555555556
1730,2715,-7535,10,6,16,62.5,0.001899999999999999,51.0625
1731,1421,3149,10,7,17,58.82,0.023094117647058824,33.8235294117647
1732,1455,2085,11,8,19,57.89,0.01564210526315789,61.94736842105263
1733,7917,-15417,17,15,32,53.12,-0.004709375000000002,65.34375
1734,3117,3583,13,8,21,61.9,0.015214285714285711,86.66666666666667
1735,1810,2800,12,7,19,63.16,0.013957894736842101,45.78947368421053
1736,10405,-52055,13,14,27,48.15,-0.017029629629629627,35.03703703703704
1737,3199,17201,15,7,22,68.18,0.03392272727272727,69.63636363636364
1760,0,0,0,0,0,0.0,,
1762,3487,-27387,6,8,14,42.86,-0.035492857142857145,54.357142857142854
1773,2675,18825,5,2,7,71.43,0.0453,84.14285714285714
1776,413,-2913,2,2,4,50.0,-0.035875,188.5
1783,1887,13313,8,3,11,72.73,0.05886363636363636,29.454545454545453
1786,6143,38557,13,5,18,72.22,0.04368333333333333,20.38888888888889
1789,2712,-23012,5,7,12,41.67,-0.029975,93.33333333333333
1795,7031,23119,12,6,18,66.67,0.03890555555555556,32.888888888888886
1802,3147,-20927,8,17,25,32.0,-0.043596,55.44
1805,1660,-2200,13,13,26,50.0,-0.016603846153846146,20.576923076923077
1806,2057,-8297,14,15,29,48.28,-0.013224137931034479,45.58620689655172
1808,0,0,0,0,0,0.0,,
1809,2164,636,16,12,28,57.14,0.01168214285714286,41.964285714285715
1810,1648,1872,15,10,25,60.0,0.015983999999999998,39.76
1817,1009,-2209,2,3,5,40.0,-0.012139999999999998,241.6
1903,6376,-976,16,12,28,57.14,0.00337857142857143,49.285714285714285
1904,1848,3862,12,9,21,57.14,0.009471428571428572,67.80952380952381
1905,1969,-2729,15,11,26,57.69,-0.003138461538461536,70.61538461538461
1906,1946,2224,13,13,26,50.0,-0.0016499999999999987,31.346153846153847
1907,1550,-5050,9,12,21,42.86,-0.02041904761904763,60.857142857142854
1909,3028,2582,18,18,36,50.0,-0.0056361111111111134,42.111111111111114
2002,2964,-23314,7,12,19,36.84,-0.03636315789473684,115.78947368421052
2006,3485,1215,13,10,23,56.52,0.009330434782608695,83.1304347826087
2007,2020,-4620,17,18,35,48.57,-0.01726857142857143,33.42857142857143
2008,1187,-3807,9,9,18,50.0,-0.02115,34.0
2009,2039,-4949,14,13,27,51.85,-0.0013962962962962965,48.48148148148148
2010,1259,-1699,8,7,15,53.33,-0.0006666666666666663,122.0
2012,1441,-1531,9,7,16,56.25,0.018749999999999992,64.875
2013,2808,26542,17,4,21,80.95,0.06733333333333334,85.57142857142857
2014,2044,-6404,13,13,26,50.0,-0.005776923076923078,46.0
2015,4575,30325,12,5,17,70.59,0.043929411764705883,60.88235294117647
2017,1624,4806,16,9,25,64.0,0.026712000000000003,55.44
2020,2458,42,13,8,21,61.9,0.01724761904761905,92.42857142857143
2022,1970,-3830,18,15,33,54.55,-0.004087878787878791,46.63636363636363
2023,1826,-2526,13,10,23,56.52,-0.0051956521739130465,72.6086956521739
2024,1464,1116,12,12,24,50.0,0.0040666666666666655,35.5
2025,1530,-1860,12,16,28,42.86,-0.03198928571428571,21.142857142857142
2027,3974,-9224,15,15,30,50.0,0.0027766666666666686,35.666666666666664
2028,2222,-1072,15,16,31,48.39,-0.0027774193548387115,35.25806451612903
2029,4070,-10420,12,15,27,44.44,-0.014366666666666665,72.4074074074074
2030,2487,-4727,12,13,25,48.0,-0.011216000000000002,37.68
2031,4189,-6639,15,13,28,53.57,-0.007246428571428571,38.464285714285715
2032,2678,-15288,12,16,28,42.86,-0.02568214285714285,43.107142857142854
2033,1640,20590,14,5,19,73.68,0.09173684210526316,63.21052631578947
2034,3575,11575,16,9,25,64.0,0.023952,40.68
2038,1661,-5121,8,9,17,47.06,-0.01122941176470588,57.8235294117647
2049,27248,-79748,9,12,21,42.86,-0.0093047619047619,18.857142857142858
2059,27986,89014,13,7,20,65.0,0.031795,36.55
2062,4604,-41154,9,12,21,42.86,-0.03452380952380952,73.04761904761905
2069,841,-8191,2,5,7,28.57,-0.049314285714285706,86.14285714285714
2101,4222,15328,13,8,21,61.9,0.02395714285714285,60.857142857142854
2102,2890,-8250,13,16,29,44.83,-0.006934482758620685,49.03448275862069
2103,5203,-5103,13,13,26,50.0,0.00605,58.96153846153846
2104,4367,-317,15,13,28,53.57,0.0009535714285714281,52.0
2105,7222,-472,13,11,24,54.17,-0.0002375000000000016,61.833333333333336
2106,3841,-16691,10,12,22,45.45,-0.008422727272727273,64.0909090909091
2107,2201,-8501,10,10,20,50.0,-0.011224999999999999,74.4
2108,3588,-31088,11,12,23,47.83,-0.014734782608695653,53.608695652173914
2109,2488,6422,20,14,34,58.82,0.025032352941176474,32.6764705882353
2114,5563,-2263,7,6,13,53.85,0.00524615384615385,108.76923076923077
2115,2822,-22372,4,7,11,36.36,-0.03548181818181818,63.36363636363637
2201,5230,-15630,12,15,27,44.44,-0.015662962962962962,55.925925925925924
2204,5556,6064,15,17,32,46.88,0.012465625,39.0625
2206,2159,11911,12,6,18,66.67,0.044172222222222224,49.666666666666664
2207,22531,29569,12,6,18,66.67,0.021722222222222226,49.94444444444444
2208,2119,-13719,7,11,18,38.89,-0.03102222222222223,74.22222222222223
2227,24749,54051,11,13,24,45.83,-0.008679166666666663,85.25
2228,7918,-51218,5,8,13,38.46,-0.02166153846153846,57.84615384615385
2231,21677,-133427,8,12,20,40.0,-0.017554999999999998,27.55
2233,4437,-27287,5,5,10,50.0,-0.026039999999999997,49.0
2236,1577,-9927,2,6,8,25.0,-0.051025,44.0
2239,5693,-21693,4,5,9,44.44,-0.03002222222222222,39.0
2241,1438,-32968,1,4,5,20.0,-0.09962000000000001,51.6
2243,663,-3213,2,3,5,40.0,-0.018920000000000003,22.0
2247,2525,-38525,0,2,2,0.0,-0.083,207.5
2301,4519,2031,11,9,20,55.0,0.006539999999999997,48.45
2302,1688,662,19,11,30,63.33,0.01771666666666667,33.86666666666667
2303,1046,-5796,4,8,12,33.33,-0.03831666666666667,47.166666666666664
2305,1542,4458,14,13,27,51.85,0.021344444444444447,26.48148148148148
2308,8673,-5973,8,5,13,61.54,0.00863076923076923,46.15384615384615
2312,1735,-2175,13,12,25,52.0,-0.00408,65.0
2313,2591,11479,17,9,26,65.38,0.03303076923076924,25.96153846153846
2314,2553,-3933,14,13,27,51.85,-0.012051851851851854,18.88888888888889
2316,2807,17013,17,10,27,62.96,0.02930740740740741,37.851851851851855
2317,11913,33587,13,6,19,68.42,0.02893684210526316,60.526315789473685
2321,2009,-1639,15,15,30,50.0,-0.0053100000000000005,23.333333333333332
2323,1988,6642,20,11,31,64.52,0.026377419354838706,36.74193548387097
2324,2661,5539,12,7,19,63.16,0.01716842105263158,52.31578947368421
2327,12845,67855,16,10,26,61.54,0.022838461538461537,28.653846153846153
2328,5942,1958,21,15,36,58.33,0.008241666666666668,32.166666666666664
2329,1661,-4241,13,11,24,54.17,0.0010416666666666675,26.416666666666668
2330,7796,-17696,6,1,7,85.71,0.06305714285714285,31.285714285714285
2331,4705,8765,23,15,38,60.53,0.0070921052631579,23.236842105263158
2332,4600,5510,20,14,34,58.82,0.015238235294117648,35.23529411764706
2337,1988,-18998,7,18,25,28.0,-0.057631999999999996,23.08
2338,2173,10737,15,7,22,68.18,0.027809090909090905,59.27272727272727
