Adj Close	Close	Date	High	Low	Open	Ticker	Volume
7.97	7.97	2020-11-11	7.97	7.0	7.22	4609	249940
12.1	12.1	2020-11-11	12.6	11.9	12.5	4702	5597150
16.25	16.25	2020-11-11	16.25	16.1	16.2	4706	1149200
10.8	10.8	2020-11-11	10.85	10.75	10.75	4707	8546900
13.75	13.75	2020-11-11	13.75	13.6	13.6	4711	219250
9.0	9.0	2020-11-11	9.2	9.0	9.18	4712	109980
12.2	12.2	2020-11-11	12.3	12.05	12.05	4714	4104050
14.65	14.65	2020-11-11	14.85	14.55	14.8	4716	951000
58.5	58.5	2020-11-11	59.0	58.0	58.0	4721	14530700
38.6	38.6	2020-11-11	39.6	38.35	38.35	4726	51719350
66.7	66.7	2020-11-11	67.3	66.4	66.8	4728	3002500
13.05	13.05	2020-11-11	13.1	13.0	13.1	4729	3647600
140.0	140.0	2020-11-11	141.0	136.5	139.0	4735	112249500
217.5	217.5	2020-11-11	219.5	207.0	207.0	4736	917149500
28.05	28.05	2020-11-11	28.05	28.0	28.05	4741	420650
279.0	279.0	2020-11-11	281.5	273.5	280.0	4743	1260011000
31.3	31.3	2020-11-11	31.55	31.3	31.45	4744	1445950
30.2	30.2	2020-11-11	30.45	30.05	30.05	4745	845400
37.5	37.5	2020-11-11	37.5	37.3	37.3	4747	411250
42.5	42.5	2020-11-11	42.5	41.8	42.0	4754	672100
77.5	77.5	2020-11-11	77.7	76.2	76.9	4760	48381100
21.15	21.15	2020-11-11	21.6	20.75	21.4	4767	357450
38.85	38.85	2020-11-11	40.5	37.0	40.3	4803	39210700
15.75	15.75	2020-11-11	16.05	15.3	15.6	4804	11047050
8.13	8.13	2020-11-11	8.13	8.13	8.13	4806	8130
8.06	8.06	2020-11-11	8.06	7.4	7.5	4903	2773100
51.0	51.0	2020-11-11	51.0	51.0	51.0	4905	102000
28.05	28.05	2020-11-11	28.25	28.0	28.0	4907	589450
30.05	30.05	2020-11-11	30.85	29.7	30.1	4908	7260800
17.25	17.25	2020-11-11	17.4	17.2	17.3	4909	3837050
36.85	36.85	2020-11-11	36.85	36.3	36.5	4911	655350
12.05	12.05	2020-11-11	13.1	12.0	13.0	4924	2624850
22.8	22.8	2020-11-11	23.0	22.6	23.0	4931	1891600
30.1	30.1	2020-11-11	30.2	29.95	30.2	4933	3574600
16.85	16.85	2020-11-11	16.9	16.65	16.9	4939	5655400
26.85	26.85	2020-11-11	26.85	25.75	26.8	4944	1085350
19.4	19.4	2020-11-11	20.0	19.25	19.65	4946	624200
16.3	16.3	2020-11-11	16.3	15.7	16.2	4950	11944400
89.4	89.4	2020-11-11	91.5	89.2	90.8	4953	71635600
1065.0	1065.0	2020-11-11	1100.0	1020.0	1095.0	4966	2278175000
49.75	49.75	2020-11-11	49.9	49.4	49.9	4971	1540200
27.75	27.75	2020-11-11	27.75	27.3	27.3	4972	933700
22.3	22.3	2020-11-11	22.6	22.25	22.35	4973	3510350
