代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
2106,6973,-46123,10,17,27,37.04,-0.031229629629629625,93.77777777777777
2107,3053,-3003,13,12,25,52.0,-0.0010640000000000003,104.6
2108,8151,299,18,18,36,50.0,-0.0037944444444444414,52.333333333333336
2109,3011,1619,19,15,34,55.88,0.011488235294117648,58.6764705882353
2114,14293,53807,17,8,25,68.0,0.028884000000000003,91.28
2115,9353,5697,18,17,35,51.43,0.005668571428571429,53.34285714285714
2201,7183,-18433,15,18,33,45.45,-0.013354545454545456,69.36363636363636
2204,6656,-4806,13,14,27,48.15,0.02477777777777777,89.03703703703704
2206,4629,15021,15,11,26,57.69,0.018403846153846153,90.61538461538461
2207,92509,-132509,18,16,34,52.94,-0.002638235294117649,60.14705882352941
2208,4426,-20726,14,21,35,40.0,-0.01252857142857143,58.82857142857143
2227,50428,-122428,15,16,31,48.39,-0.013309677419354836,74.96774193548387
2228,28265,-46565,21,19,40,52.5,-0.000837499999999998,41.95
2231,74872,-84372,27,23,50,54.0,0.002776000000000002,25.82
2233,27339,-109439,23,23,46,50.0,-0.011149999999999998,36.26086956521739
2236,7006,39044,23,12,35,65.71,0.03945428571428571,37.4
2239,21346,20554,19,14,33,57.58,0.003036363636363636,33.93939393939394
2241,6041,-30211,10,8,18,55.56,-0.013177777777777776,34.77777777777778
2243,3637,-25217,12,20,32,37.5,-0.013493749999999999,19.25
2247,8389,5111,3,3,6,50.0,0.00134999999999999,120.5
2301,10481,-12281,19,18,37,51.35,-0.004878378378378378,60.2972972972973
2302,3245,13675,26,17,43,60.47,0.022818604651162786,33.23255813953488
2303,5756,34344,22,12,34,64.71,0.03715588235294118,61.23529411764706
2305,3509,-6889,26,20,46,56.52,0.01860217391304348,27.76086956521739
2308,46416,70584,23,18,41,56.1,0.009929268292682928,47.73170731707317
2312,2936,2494,22,16,38,57.89,0.011339473684210523,49.44736842105263
2313,8224,2926,26,17,43,60.47,0.017383720930232556,36.395348837209305
2314,8490,18950,28,21,49,57.14,0.0053979591836734704,24.714285714285715
2316,6123,-3873,23,22,45,51.11,0.0029088888888888892,37.24444444444445
2317,13119,-34719,12,13,25,48.0,-0.007908,101.88
2321,2887,-6157,18,36,54,33.33,-0.028198148148148146,19.296296296296298
2323,2155,4695,21,15,36,58.33,0.029124999999999998,49.55555555555556
2324,3407,3593,15,12,27,55.56,0.008007407407407411,90.96296296296296
2327,79522,-115372,29,19,48,60.42,0.019299999999999998,28.604166666666668
2328,5221,-11221,18,16,34,52.94,-0.011370588235294118,61.23529411764706
2329,4218,-9968,26,23,49,53.06,0.0028673469387755133,32.326530612244895
2330,53368,103632,19,10,29,65.52,0.03051034482758621,77.6896551724138
2331,5097,-17397,20,25,45,44.44,-0.009759999999999998,33.93333333333333
2332,3969,-2189,23,20,43,53.49,0.004232558139534884,41.18604651162791
2337,7197,24573,25,22,47,53.19,0.02329574468085106,34.255319148936174
2338,9976,-39366,21,21,42,50.0,-0.000640476190476189,39.833333333333336
2340,6431,1539,28,19,47,59.57,0.012968085106382981,31.148936170212767
2342,8091,-12041,28,28,56,50.0,0.006244642857142859,17.375
