代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均持倉時間(日)
2408,14860,-12780,28,31,59,47.46,24.47457627118644
2409,8005,-23705,20,26,46,43.48,27.065217391304348
2412,11559,-43959,11,14,25,44.0,195.68
2413,6149,-8979,27,27,54,50.0,14.944444444444445
2414,4623,-25723,14,25,39,35.9,64.64102564102564
2415,7078,-4338,28,27,55,50.91,17.181818181818183
2417,9549,-68399,17,31,48,35.42,23.083333333333332
2419,5140,9810,25,24,49,51.02,26.408163265306122
2420,8554,-12654,20,26,46,43.48,31.130434782608695
2421,8672,-2772,25,22,47,53.19,30.5531914893617
2423,4847,-25297,13,22,35,37.14,56.48571428571429
2424,5547,27003,29,14,43,67.44,23.302325581395348
2425,7956,-16016,27,31,58,46.55,12.620689655172415
2426,6803,-16513,27,29,56,48.21,16.910714285714285
2427,3109,-10029,18,21,39,46.15,25.53846153846154
2428,19299,-145349,22,32,54,40.74,35.7037037037037
2429,4485,-7965,22,20,42,52.38,19.333333333333332
2430,10140,3360,22,21,43,51.16,38.16279069767442
2431,4574,10366,28,23,51,54.9,22.333333333333332
2433,6842,-5392,19,20,40,47.5,84.175
2434,6546,-9826,30,24,54,55.56,14.296296296296296
2436,10706,-24106,26,29,55,47.27,18.527272727272727
2438,3388,-5908,25,25,50,50.0,13.54
2439,35543,-91043,24,35,59,40.68,19.06779661016949
2440,3923,-5933,27,26,53,50.94,20.09433962264151
2441,12018,-38168,21,27,48,43.75,51.041666666666664
2442,3825,-9065,22,27,49,44.9,26.693877551020407
2443,3597,-5117,27,29,56,48.21,10.982142857142858
2444,5960,-25470,24,34,58,41.38,13.0
2449,9874,20406,35,27,62,56.45,33.08064516129032
2450,14607,-92557,17,27,44,38.64,38.63636363636363
2451,22547,-43547,20,21,41,48.78,41.1219512195122
2453,4629,-11919,24,25,49,48.98,19.489795918367346
2454,144487,-639487,21,32,53,39.62,33.0188679245283
2455,27203,-69983,29,50,79,36.71,16.151898734177216
2457,8867,-12217,27,34,61,44.26,15.721311475409836
2458,21871,-66821,25,34,59,42.37,30.508474576271187
2459,9829,-8129,20,24,44,45.45,55.04545454545455
2460,7158,-12828,26,26,52,50.0,20.346153846153847
2461,6421,5479,24,24,48,50.0,23.708333333333332
2462,8122,4528,25,25,50,50.0,33.86
2464,9330,7020,23,22,45,51.11,40.422222222222224
2465,7465,-35295,29,32,61,47.54,8.278688524590164
2466,6486,-24636,18,21,39,46.15,51.333333333333336
2467,8038,-488,28,24,52,53.85,30.76923076923077
2468,3179,-2689,17,21,38,44.74,41.86842105263158
2471,5130,-13950,19,29,48,39.58,27.125
2472,9852,-21072,24,29,53,45.28,26.50943396226415
2474,73191,-204191,21,37,58,36.21,28.03448275862069
2476,10243,-10343,22,25,47,46.81,38.57446808510638
2477,7924,47836,35,20,55,63.64,24.345454545454544
2478,16837,-185987,22,36,58,37.93,15.241379310344827
2480,8507,-29007,19,23,42,45.24,58.42857142857143
2481,14994,-23194,35,36,71,49.3,19.929577464788732
2482,7088,-25938,26,23,49,53.06,14.653061224489797
2483,5529,1471,22,23,45,48.89,28.022222222222222
2484,7271,20569,33,24,57,57.89,29.210526315789473
2485,14757,-91657,23,28,51,45.1,23.80392156862745
2486,9733,-19223,26,31,57,45.61,20.94736842105263
2488,7039,-589,21,22,43,48.84,31.11627906976744
2489,7550,-4160,27,26,53,50.94,27.60377358490566
2491,5053,-4373,26,34,60,43.33,9.533333333333333
2492,30945,-164395,34,32,66,51.52,22.075757575757574
2493,5843,-14633,19,25,44,43.18,47.97727272727273
2495,10681,669,21,20,41,51.22,29.658536585365855
2496,13433,43157,33,24,57,57.89,9.68421052631579
2497,12596,-104646,18,36,54,33.33,19.703703703703702
2498,132052,-917302,20,32,52,38.46,19.826923076923077
2501,5519,-14909,21,30,51,41.18,32.529411764705884
2504,4760,1220,23,29,52,44.23,31.98076923076923
2505,7012,8048,38,28,66,57.58,20.742424242424242
2506,2987,-5437,23,25,48,47.92,22.645833333333332
2509,6279,-28509,20,25,45,44.44,31.333333333333332
2511,4654,-7504,22,28,50,44.0,35.3
2514,5306,-29326,21,33,54,38.89,22.296296296296298
2515,2760,-7000,17,26,43,39.53,31.25581395348837
2516,2756,-1906,20,24,44,45.45,29.5
2520,7745,-9415,21,35,56,37.5,21.910714285714285
2524,9577,-22877,25,28,53,47.17,36.60377358490566
2527,6589,-1419,34,31,65,52.31,22.46153846153846
2528,4197,-13877,24,34,58,41.38,11.155172413793103
2530,4084,-8854,29,29,58,50.0,31.46551724137931
2534,7185,-16535,24,34,58,41.38,34.53448275862069
2535,5993,-24243,26,29,55,47.27,34.10909090909091
2536,8503,13697,30,20,50,60.0,44.82
2537,3112,-4972,21,23,44,47.73,19.363636363636363
2538,6042,-3552,32,29,61,52.46,24.950819672131146
2539,6091,-4291,20,23,43,46.51,56.86046511627907
2540,9204,-12794,26,26,52,50.0,14.692307692307692
2542,12906,15734,27,32,59,45.76,35.13559322033898
2543,2821,-5391,18,22,40,45.0,24.975
2545,17874,-39574,27,38,65,41.54,23.415384615384614
2546,7080,-19920,27,29,56,48.21,50.07142857142857
2547,8511,-12881,25,30,55,45.45,15.290909090909091
2548,20667,-52367,23,35,58,39.66,38.275862068965516
2597,11382,-102482,9,20,29,31.03,46.96551724137931
2601,11546,16104,30,32,62,48.39,15.693548387096774
2603,15246,-22546,28,34,62,45.16,23.193548387096776
2605,9059,591,25,24,49,51.02,30.857142857142858
2606,18252,-4552,29,31,60,48.33,36.03333333333333
2607,5313,-30463,16,27,43,37.21,31.069767441860463
2608,8068,-23188,25,26,51,49.02,47.68627450980392
2609,13132,-121172,20,41,61,32.79,20.688524590163933
2610,4523,-2893,21,25,46,45.65,28.5
2611,3907,-28947,17,26,43,39.53,33.81395348837209
2612,16948,-29198,31,32,63,49.21,19.41269841269841
2613,6020,-590,30,24,54,55.56,24.0
2614,5303,-24013,20,36,56,35.71,17.089285714285715
2615,17539,-121439,24,36,60,40.0,23.716666666666665
2616,4736,-26086,12,25,37,32.43,92.43243243243244
2617,10711,-97211,18,36,54,33.33,24.11111111111111
2618,6091,11859,30,22,52,57.69,33.36538461538461
2630,505,-755,3,1,4,75.0,16.0
2633,1658,-9058,3,6,9,33.33,72.88888888888889
2634,1905,-5305,4,5,9,44.44,95.44444444444444
2636,13980,-28780,21,19,40,52.5,24.775
2637,8296,-19546,12,14,26,46.15,55.38461538461539
2642,5586,-45686,6,10,16,37.5,20.5
2701,2507,-3757,13,14,27,48.15,87.66666666666667
2702,6315,-22115,18,27,45,40.0,22.444444444444443
2704,8084,2216,19,26,45,42.22,47.666666666666664
2705,4707,-777,23,21,44,52.27,20.59090909090909
2706,5437,5013,19,17,36,52.78,56.05555555555556
2707,66998,-170098,18,23,41,43.9,41.5609756097561
2712,2909,-3459,5,8,13,38.46,105.61538461538461
2722,2126,19974,8,2,10,80.0,90.2
2723,33100,-128600,9,14,23,39.13,23.130434782608695
2727,19220,-8020,8,9,17,47.06,40.11764705882353
2731,11380,-43380,7,11,18,38.89,27.444444444444443
2739,1792,5108,8,2,10,80.0,40.3
2748,2982,19418,7,2,9,77.78,35.666666666666664
2801,3900,2300,17,17,34,50.0,71.70588235294117
2809,5501,-17831,20,26,46,43.48,55.56521739130435
2812,2686,-7566,15,23,38,39.47,90.60526315789474
2816,4192,5358,18,19,37,48.65,39.45945945945946
2820,1926,-4966,12,14,26,46.15,173.57692307692307
2832,3485,1915,14,13,27,51.85,120.44444444444444
2834,2511,-3341,17,18,35,48.57,95.4
2836,3265,5865,18,16,34,52.94,94.70588235294117
2838,2354,-12914,12,21,33,36.36,82.48484848484848
2841,3638,-2598,23,23,46,50.0,29.869565217391305
2845,3251,7909,22,18,40,55.0,72.575
2849,3348,10422,25,16,41,60.98,43.51219512195122
2850,6384,-36034,17,29,46,36.96,73.02173913043478
2851,3519,-13219,13,21,34,38.24,84.94117647058823
2852,3411,-24541,14,23,37,37.84,75.29729729729729
2855,4158,-16108,16,23,39,41.03,65.41025641025641
2867,1134,11096,9,3,12,75.0,98.83333333333333
2880,4024,-9474,13,17,30,43.33,104.3
2881,8905,-36855,14,22,36,38.89,87.61111111111111
2882,11320,-26570,15,21,36,41.67,64.36111111111111
2883,2955,1905,19,18,37,51.35,59.4054054054054
2884,4187,-9487,16,20,36,44.44,88.38888888888889
2885,5553,4947,27,24,51,52.94,51.8235294117647
2886,5237,-20187,15,22,37,40.54,88.43243243243244
2887,3818,-4288,17,20,37,45.95,73.21621621621621
2888,4441,-11061,18,24,42,42.86,46.5
2889,2494,-12764,11,23,34,32.35,90.73529411764706
2890,2908,8872,20,15,35,57.14,84.74285714285715
2891,5433,4417,18,19,37,48.65,88.4054054054054
2892,3924,5526,15,14,29,51.72,119.17241379310344
2897,319,-2039,2,3,5,40.0,81.2
2901,6311,10239,25,15,40,62.5,47.4
2903,7529,-42529,16,30,46,34.78,39.80434782608695
2904,4097,-8597,18,23,41,43.9,48.51219512195122
2905,5927,12563,24,26,50,48.0,25.0
2906,2883,-12953,15,20,35,42.86,67.62857142857143
2908,4281,4519,17,16,33,51.52,78.96969696969697
2910,9843,-7293,25,26,51,49.02,20.686274509803923
2911,5120,-12670,20,21,41,48.78,24.878048780487806
2912,35181,-99181,16,24,40,40.0,72.45
2913,5003,-15223,23,27,50,46.0,29.76
2915,18796,46354,28,28,56,50.0,31.035714285714285
2923,3101,-9951,10,9,19,52.63,32.36842105263158
2929,7231,-37531,5,7,12,41.67,36.333333333333336
2936,1166,-10216,2,5,7,28.57,61.57142857142857
2939,2765,-16515,1,3,4,25.0,7.25
3002,5254,-8804,19,25,44,43.18,25.704545454545453
3003,13334,-62584,21,32,53,39.62,20.37735849056604
3004,12926,-44016,25,29,54,46.3,18.166666666666668
3005,8308,-27408,20,29,49,40.82,36.97959183673469
3006,25559,-85459,26,34,60,43.33,14.166666666666666
3008,634507,-1995007,27,37,64,42.19,29.421875
3010,13482,2068,20,20,40,50.0,81.3
3011,3797,-2267,23,23,46,50.0,14.369565217391305
