Ticker,名稱,差額(張數),差額(金額),買入均價,成交量,買入占比
'4160,,,,,8,
'4161,,,,,610,
'4162,,,,,2361,
'4163,,,,,11,
'4164,,,,,390,
'4167,,,,,851,
'4168,,,,,306,
'4171,,,,,69336,
'4173,,,,,2310,
'4174,,,,,562,
'4175,,,,,1145,
'4183,,,,,4,
'4188,,,,,49,
'4190,,,,,14,
'4192,,,,,328,
'4198,,,,,77,
'4205,,,,,12,
'4207,,,,,5228,
'4303,,,,,87,
'4304,,,,,837,
'4305,,,,,4,
'4306,,,,,530,
'4401,,,,,51,
'4402,,,,,159,
'4406,,,,,43,
'4413,,,,,36,
'4414,,,,,5247,
'4416,,,,,24,
'4417,,,,,25,
'4419,,,,,1,
'4420,,,,,37,
'4426,,,,,180,
'4429,,,,,0,
'4430,,,,,9,
'4432,,,,,117,
'4433,,,,,7,
'4438,,,,,151,
'4439,,,,,37,
'4440,,,,,83,
'4502,,,,,5,
'4503,,,,,155,
'4506,,,,,39,
'4510,,,,,13,
'4513,,,,,437,
'4523,,,,,11,
'4526,,,,,223,
'4527,,,,,48,
'4528,,,,,20,
'4529,,,,,139,
'4530,,,,,1,
'4532,,,,,157,
'4533,,,,,111,
'4534,,,,,140,
'4535,,,,,62,
'4536,,,,,38,
'4538,,,,,2,
'4540,,,,,90,
'4541,,,,,143,
'4542,,,,,1,
'4543,,,,,8,
'4545,,,,,16,
'4549,,,,,27,
'4550,,,,,7,
'4551,,,,,235,
'4552,,,,,27,
'4554,,,,,40,
'4555,,,,,1,
'4556,,,,,0,
'4557,,,,,4,
'4558,,,,,52,
'4560,,,,,47,
'4561,,,,,19,
'4562,,,,,45,
'4563,,,,,26,
'4564,,,,,582,
'4566,,,,,8,
'4568,,,,,0,
'4571,,,,,23,
'4572,,,,,82,
'4576,,,,,39,
'4580,,,,,66,
'4581,,,,,7,
'4609,,,,,14,
'4702,,,,,2194,
'4706,,,,,46,
'4707,,,,,643,
'4711,,,,,762,
'4712,,,,,1,
'4714,,,,,191,
'4716,,,,,945,
'4720,,,,,155,
'4721,,,,,1017,
'4722,,,,,98,
'4726,,,,,327,
'4728,,,,,4,
'4729,,,,,12,
'4735,,,,,136,
'4736,,,,,899,
'4737,,,,,2,
'4739,,,,,3461,
'4741,,,,,4,
'4743,,,,,1431,
'4744,,,,,159,
'4745,,,,,162,
'4746,,,,,1762,
'4747,,,,,5,
'4754,,,,,6,
'4755,,,,,5753,
'4760,,,,,132,
'4763,,,,,71,
'4764,,,,,7,
'4766,,,,,130,
'4767,,,,,5,
'4768,,,,,209,
'4770,,,,,125,
'4804,,,,,4178,
'4806,,,,,2,
'4807,,,,,11,
'4903,,,,,77,
'4904,,,,,7937,
'4905,,,,,3,
'4906,,,,,3834,
'4907,,,,,6,
'4908,,,,,588,
'4909,,,,,121,
'4911,,,,,21,
'4912,,,,,549,
'4915,,,,,6206,
'4916,,,,,380,
'4919,,,,,21207,
'4923,,,,,79,
'4924,,,,,9,
'4927,,,,,796,
'4930,,,,,113,
'4931,,,,,4074,
'4933,,,,,68,
'4934,,,,,520,
'4935,,,,,331,
'4938,,,,,8325,
'4939,,,,,151,
'4942,,,,,122,
'4943,,,,,231,
'4944,,,,,2,
'4945,,,,,320,
'4946,,,,,120,
'4950,,,,,118,
'4952,,,,,617,
'4953,,,,,93,
'4956,,,,,417,
'4958,,,,,2385,
'4960,,,,,7589,
'4961,,,,,2619,
'4966,,,,,1677,
'4967,,,,,883,
'4968,,,,,5661,
'4971,,,,,43,
'4972,,,,,16,
'4973,,,,,81,
'4974,,,,,170,
'4976,,,,,718,
'4977,,,,,37,
'4979,,,,,187,
'4987,,,,,27,
'4989,,,,,319,
'4991,,,,,67,
'4994,,,,,347,
'4995,,,,,28,
'4999,,,,,91,
'5007,,,,,28,
'5009,,,,,23628,
'5011,,,,,1110,
'5013,,,,,10,
'5014,,,,,1348,
'5015,,,,,72,
'5016,,,,,18,
'5102,,,,,21,
'5201,,,,,46,
'5202,,,,,11,
'5203,,,,,74,
'5205,,,,,0,
'5206,,,,,2,
'5209,,,,,9,
'5210,,,,,2849,
'5211,,,,,25,
'5212,,,,,57,
'5213,,,,,263,
'5215,,,,,129,
'5220,,,,,42,
'5222,,,,,106,
'5223,,,,,56,
'5225,,,,,85,
'5227,,,,,318,
'5230,,,,,63,
'5234,,,,,433,
'5236,,,,,187,
'5243,,,,,833,
'5244,,,,,35,
'5245,,,,,114,
'5251,,,,,231,
'5258,,,,,6010,
'5263,,,,,39,
'5269,,,,,1062,
'5272,,,,,279,
'5274,,,,,691,
'5276,,,,,3,
'5278,,,,,13,
'5281,,,,,10,
'5283,,,,,36,
'5284,,,,,19,
'5285,,,,,306,
'5287,,,,,28,
'5288,,,,,20,
'5289,,,,,79,
'5291,,,,,37,
'5299,,,,,127,
'5301,,,,,80,
'5302,,,,,173,
'5306,,,,,147,
'5309,,,,,3639,
'5310,,,,,3,
'5312,,,,,2,
'5314,,,,,4,
'5315,,,,,83,
'5321,,,,,750,
'5324,,,,,28,
'5328,,,,,373,
'5340,,,,,59,
'5344,,,,,93,
'5345,,,,,1,
'5347,,,,,7246,
'5348,,,,,9,
'5351,,,,,8006,
'5353,,,,,390,
'5355,,,,,224,
'5356,,,,,66,
'5364,,,,,0,
'5371,,,,,549,
'5381,,,,,2,
'5383,,,,,78,
'5386,,,,,23,
'5388,,,,,11598,
'5392,,,,,101,
'5398,,,,,64,
'5403,,,,,29,
'5410,,,,,57,
'5425,,,,,9327,
'5426,,,,,129,
'5432,,,,,17,
'5434,,,,,212,
'5438,,,,,12,
'5439,,,,,201,
'5443,,,,,91,
'5450,,,,,22,
'5452,,,,,89,
'5455,,,,,0,
'5457,,,,,353,
'5460,,,,,249,
'5464,,,,,41,
'5465,,,,,21,
'5468,,,,,150,
'5469,,,,,1118,
'5471,,,,,812,
'5474,,,,,649,
'5475,,,,,601,
'5478,,,,,92,
'5481,,,,,84,
'5483,,,,,7460,
'5484,,,,,108,
'5487,,,,,0,
'5488,,,,,141,
'5489,,,,,9,
'5490,,,,,76,
'5493,,,,,57,
'5498,,,,,261,
'5508,,,,,38,
'5511,,,,,17,
'5512,,,,,352,
'5514,,,,,0,
'5515,,,,,153,
'5516,,,,,24,
'5519,,,,,362,
'5520,,,,,1,
'5521,,,,,539,
'5522,,,,,876,
'5523,,,,,46,
'5525,,,,,102,
'5529,,,,,75,
'5530,,,,,1416,
'5531,,,,,278,
'5533,,,,,208,
'5534,,,,,134,
'5536,,,,,56,
'5538,,,,,54,
'5543,,,,,10,
'5546,,,,,8,
'5601,,,,,2,
'5603,,,,,2239,
'5604,,,,,8,
'5607,,,,,552,
'5608,,,,,9258,
'5609,,,,,464,
'5701,,,,,66,
'5703,,,,,8,
'5704,,,,,3,
'5706,,,,,1289,
'5820,,,,,217,
'5864,,,,,562,
'5871,,,,,4072,
'5876,,,,,5645,
'5878,,,,,0,
'5880,,,,,20903,
'5902,,,,,20,
'5903,,,,,23,
'5904,,,,,371,
'5905,,,,,230,
'5906,,,,,10,
'5907,,,,,187,
'6005,,,,,3561,
'6015,,,,,1680,
'6016,,,,,1086,
'6020,,,,,42,
'6021,,,,,65,
'6023,,,,,26,
'6024,,,,,104,
