代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
1907,3450,-4290,10,23,33,30.3,-0.024133333333333333,29.060606060606062
1909,5527,13843,26,28,54,48.15,0.007207407407407406,25.98148148148148
2002,3466,-14366,6,12,18,33.33,-0.015594444444444442,24.666666666666668
2006,7943,20777,24,19,43,55.81,0.01723720930232558,17.186046511627907
2007,4406,14984,32,33,65,49.23,0.013456923076923076,17.46153846153846
2008,4513,6537,35,30,65,53.85,0.013346153846153843,17.353846153846153
2009,5149,-34269,17,36,53,32.08,-0.034137735849056605,21.962264150943398
2010,2199,-7349,8,13,21,38.1,-0.016204761904761902,26.666666666666668
2012,3734,-17544,14,23,37,37.84,-0.026632432432432435,22.864864864864863
2013,4303,-20693,8,16,24,33.33,-0.015245833333333333,34.541666666666664
2014,7499,-1939,30,46,76,39.47,-0.01663421052631579,20.69736842105263
2015,9747,-22827,14,25,39,35.9,-0.026635897435897442,19.05128205128205
2017,4172,1598,24,32,56,42.86,-0.005292857142857143,23.017857142857142
2020,2731,17879,10,8,18,55.56,0.022266666666666667,39.22222222222222
2022,3943,5227,35,25,60,58.33,0.009234999999999998,19.75
2023,4302,2548,21,23,44,47.73,0.0035272727272727287,24.931818181818183
2024,4542,-2092,28,40,68,41.18,-0.009557352941176472,20.58823529411765
2025,4597,-5707,30,42,72,41.67,-0.018204166666666667,19.86111111111111
2027,6832,29408,23,23,46,50.0,0.010939130434782608,24.76086956521739
2028,5170,12030,31,28,59,52.54,0.01688305084745763,21.64406779661017
2029,5542,-4932,10,18,28,35.71,-0.008378571428571428,21.464285714285715
2030,5187,-14817,19,31,50,38.0,-0.012216000000000003,22.66
2031,10068,11522,25,28,53,47.17,0.0016358490566037733,20.547169811320753
2032,6412,21788,29,27,56,51.79,0.018582142857142856,26.946428571428573
2033,4604,21946,24,23,47,51.06,0.0274531914893617,40.06382978723404
2034,6612,18118,22,19,41,53.66,0.008160975609756097,23.804878048780488
2038,3113,5387,10,12,22,45.45,0.007804545454545453,34.72727272727273
2049,78062,115038,25,26,51,49.02,0.010676470588235294,23.372549019607842
2059,56626,-10806,16,21,37,43.24,0.0037432432432432435,17.783783783783782
2062,8606,-9186,12,21,33,36.36,-0.011672727272727276,28.0
2069,2027,293,5,7,12,41.67,0.0002500000000000002,19.333333333333332
2101,0,0,0,0,0,0.0,,
2102,5891,-4741,18,31,49,36.73,0.001659183673469389,25.510204081632654
2103,9934,-1934,26,27,53,49.06,0.001975471698113207,24.58490566037736
2104,5996,-21126,15,23,38,39.47,-0.017776315789473685,28.55263157894737
2105,7963,-3913,12,17,29,41.38,-0.01003103448275862,31.79310344827586
2106,6787,-37207,13,25,38,34.21,-0.029405263157894736,27.263157894736842
2107,5266,-14716,18,34,52,34.62,-0.01944807692307693,26.326923076923077
2108,7348,31282,15,23,38,39.47,-0.006986842105263155,21.394736842105264
2109,2603,-14083,11,23,34,32.35,-0.029973529411764708,23.558823529411764
2114,5772,4288,7,11,18,38.89,-0.01333888888888889,32.5
2115,4340,9960,8,6,14,57.14,0.021228571428571427,21.928571428571427
2201,9208,30132,21,21,42,50.0,0.007823809523809525,27.928571428571427
2204,6641,-43561,7,22,29,24.14,-0.04165172413793104,26.586206896551722
2206,5473,-7403,19,27,46,41.3,-0.004263043478260869,21.065217391304348
2207,57063,134497,14,16,30,46.67,0.005403333333333329,31.0
2208,3036,-7646,9,12,21,42.86,-0.012395238095238096,21.285714285714285
2227,28954,-78314,11,17,28,39.29,-0.005057142857142857,24.857142857142858
2228,21905,-57975,9,18,27,33.33,-0.02424814814814815,23.62962962962963
2231,66108,-38488,26,28,54,48.15,0.007555555555555555,17.185185185185187
2233,26436,-18476,20,25,45,44.44,0.001468888888888889,22.666666666666668
2236,3833,-41713,2,19,21,9.52,-0.07115714285714286,23.61904761904762
2239,10486,62664,9,8,17,52.94,0.027252941176470584,25.058823529411764
2241,1252,-10442,1,3,4,25.0,-0.043875,43.25
2243,2714,4416,13,15,28,46.43,0.004485714285714287,17.607142857142858
2247,0,0,0,0,0,0.0,,
2301,8613,3457,17,20,37,45.95,0.0070810810810810814,32.78378378378378
2302,4863,-10563,30,45,75,40.0,-0.013232,23.68
2303,7198,-7968,22,32,54,40.74,-0.005807407407407406,21.11111111111111
2305,4042,-32,30,34,64,46.88,0.002193749999999998,21.421875
2308,31775,-59865,19,28,47,40.43,-0.009472340425531918,26.106382978723403
2312,3559,-19479,14,33,47,29.79,-0.032402127659574474,34.808510638297875
2313,10747,-11497,36,52,88,40.91,-0.007345454545454545,23.579545454545453
2314,12048,-11288,37,53,90,41.11,-0.003602222222222219,19.877777777777776
2316,6719,-5709,26,43,69,37.68,-0.006911594202898552,18.956521739130434
2317,24778,-88348,12,18,30,40.0,-0.01762,33.36666666666667
2321,5031,12629,37,39,76,48.68,0.006022368421052631,28.513157894736842
2323,4298,-3528,23,34,57,40.35,-0.006215789473684212,22.80701754385965
2324,7994,4636,21,26,47,44.68,0.004346808510638298,33.297872340425535
2327,66955,598315,36,32,68,52.94,0.019357352941176475,17.220588235294116
