symbol,datetime,NaOb_r,NbOa_r,NaOb_s,NbOa_s,bid1,ask1,odd_bid1,odd_ask11,bidQty1,askQty1,odd_bidQty1,odd_ask1Qty1,triggerbyOdd
2615,2022-10-21 10:18:14.912100,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,20.0,3384.0,198.0,False
2615,2022-10-21 10:18:14.996763,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,20.0,3384.0,198.0,False
2615,2022-10-21 10:18:18.947587,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,20.0,3384.0,198.0,True
2615,2022-10-21 10:18:19.657846,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,22.0,3384.0,198.0,False
2615,2022-10-21 10:18:21.334719,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,23.0,21.0,3384.0,198.0,False
2615,2022-10-21 10:18:21.362894,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,24.0,21.0,3384.0,198.0,False
2615,2022-10-21 10:18:26.735810,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,21.0,3384.0,198.0,False
2615,2022-10-21 10:18:27.766749,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,25.0,21.0,3384.0,198.0,False
2615,2022-10-21 10:18:28.050779,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,21.0,3384.0,198.0,False
2615,2022-10-21 10:18:28.985462,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,21.0,3384.0,188.0,True
2615,2022-10-21 10:18:30.234007,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,22.0,3384.0,188.0,False
2615,2022-10-21 10:18:36.159137,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,22.0,3384.0,188.0,False
