Date,Method,Tickers
2020-11-20,TOWERWithMACD,"['6418', '3588', '2007', '6594', '6197', '4533', '6118', '4161', '6570', '8072', '3522', '3532', '6233', '6237', '3236', '2024', '3293', '3094', '2402', '4609', '6538', '6243', '2478', '5701', '4919', '2363', '4760', '5344', '8489', '3006', '4967', '4712', '3682', '6111', '3687', '6171']"
2020-11-20,TOWERWithMACD_EMA23,"['3588', '3522', '3532', '6233', '2024', '2478', '4760', '3006']"
2020-11-20,TOWERWithMACD_EMA67,"['3588', '2007', '3532', '6233', '6237', '3236', '2024', '3094', '2402', '2478', '4760', '3006', '3682']"
2020-11-20,TOWERWithMACD_EMA67_23,"['6233', '2478', '4760', '2024', '3588', '3532', '3006']"
2020-11-20,VolumeWithMACD,"['3014', '4972', '5289', '00751B', '3088', '6485', '3546', '6231', '3363', '8424', '2484', '00720B', '3588', '3666', '3479', '3530', '2451', '3221', '6220', '3622', '3491', '6552', '2376', '6180', '4728', '5386', '4919', '2105', '4979', '3455', '6568', '3594', '6469', '4938', '2498', '4933', '6155', '3259', '5490', '8069', '2337', '00786B', '00772B', '3707', '00754B', '3527', '3704', '3687', '4161']"
2020-11-20,VolumeWithMACD_EMA67_23,"['3014', '4972', '5289', '00751B', '6485', '3546', '3363', '00720B', '3588', '3666', '3479', '3530', '2451', '6220', '6552', '6180', '5386', '2105', '4979', '3455', '3594', '4938', '2498', '4933', '6155', '3259', '8069', '2337', '3707', '3704']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL5,"['3014', '6485', '3546', '3363', '3588', '3666', '3530', '2451', '6220', '6552', '6180', '5386', '2105', '3455', '3594', '2498', '4933', '6155', '3259', '8069', '3707', '3704']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL5_67,"['6155', '2105', '3259', '8069', '3455', '3594', '3588', '3666', '3530', '6485', '2451', '3546', '3707', '6552', '6180', '3363', '5386', '2498', '4933']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL67,"['4972', '00751B', '6485', '3546', '3363', '00720B', '3588', '3666', '3479', '3530', '2451', '6552', '6180', '5386', '2105', '3455', '3594', '4938', '2498', '4933', '6155', '3259', '8069', '2337', '3707']"
2020-11-20,TOWERWithMACD,"['3682', '4161', '6538', '3236', '3687', '2007', '4967', '6594', '6243', '6570', '6171', '4609', '3522', '4760', '6111', '6418', '2478', '5344', '3532', '6233', '3293', '3094', '3006', '2402', '6118', '4919', '4712', '5701', '3588', '4533', '6237', '2024', '2363', '8072', '6197', '8489']"
2020-11-20,TOWERWithMACD_EMA23,"['3522', '4760', '2478', '3532', '6233', '3006', '3588', '2024']"
2020-11-20,TOWERWithMACD_EMA67,"['3682', '3236', '2007', '4760', '2478', '3532', '6233', '3094', '3006', '2402', '3588', '6237', '2024']"
2020-11-20,TOWERWithMACD_EMA67_23,"['6233', '2024', '2478', '3532', '3006', '4760', '3588']"
2020-11-20,VolumeWithMACD,"['4173', '6188', '8086', '4142', '6703', '2367', '3557', '2337', '2377', '00786B', '6612', '3594', '3444', '3437', '3479', '2603', '3622', '4167', '4580', '6588', '6426', '4979', '6155', '5220', '3527', '4973', '3176', '8931', '2615', '5289', '6592', '2368', '8109', '5011', '3698', '6204', '8069', '6469', '6508', '00722B', '6290', '4157', '6570', '2448', '3363']"
2020-11-20,VolumeWithMACD_EMA67_23,"['8086', '6703', '2337', '3594', '3479', '2603', '6426', '4979', '6155', '8931', '5289', '2368', '5011', '8069', '3363']"
